"alpha","beta","N.tot","S.frac","sigma","cv.abund","S.tot","alpha.const","slope.P","slope.E","slope.S1","mean.P.minus","mean.log.abund","E.happened","type"
0.01,-0.4,1000,0.1,0.01,0.1,100,TRUE,-0.00311785508229033,-0.446184560061958,0.864030642813705,0.00423637691870403,2.25540790635935,TRUE,"Negative DD"
0.1,-0.4,1000,0.1,0.01,0.1,100,TRUE,-0.00113896976912287,-11.9470837354298,0.909384773305882,0.0442064079483233,2.24479785447286,TRUE,"Negative DD"
0.3,-0.4,1000,0.1,0.01,0.1,100,TRUE,-0.0117790997746215,-0.582690088707807,0.896270345756468,0.152178472079843,2.25890863260462,TRUE,"Negative DD"
0.5,-0.4,1000,0.1,0.01,0.1,100,TRUE,-0.0135355185113934,0.342899814652023,0.883948045888071,0.2826728233611,2.1980738527298,TRUE,"Negative DD"
0.7,-0.4,1000,0.1,0.01,0.1,100,TRUE,-0.0325838127865682,0.507733485884848,0.886443928430562,0.488315724159105,2.25534800147433,TRUE,"Negative DD"
0.9,-0.4,1000,0.1,0.01,0.1,100,TRUE,-0.0560540857432644,0.68828745122158,0.893930431470629,0.780391244892779,2.24917394293135,TRUE,"Negative DD"
0.99,-0.4,1000,0.1,0.01,0.1,100,TRUE,-0.0215129479282815,0.880560478041258,0.90128663343701,0.975184730327052,2.24399312957059,TRUE,"Negative DD"
0.01,0,1000,0.1,0.01,0.1,100,TRUE,NA,NA,0.882668150841496,0.01,2.24652172309393,FALSE,"Constant death"
0.1,0,1000,0.1,0.01,0.1,100,TRUE,-0.00994299294092842,-0.187092376313449,0.878153988370692,0.1,2.24023891211238,TRUE,"Constant death"
0.3,0,1000,0.1,0.01,0.1,100,TRUE,-0.00783169447526271,0.679293270155014,0.900757062295607,0.3,2.23806701209431,TRUE,"Constant death"
0.5,0,1000,0.1,0.01,0.1,100,TRUE,-0.0272481643757748,0.476910367804356,0.884995352011299,0.5,2.24271052439774,TRUE,"Constant death"
0.7,0,1000,0.1,0.01,0.1,100,TRUE,-0.0553472380189149,0.509699645214832,0.908100630732409,0.7,2.26016811012719,TRUE,"Constant death"
0.9,0,1000,0.1,0.01,0.1,100,TRUE,-0.059919003087732,0.717397651633922,0.863266319140885,0.9,2.24982363396985,TRUE,"Constant death"
0.99,0,1000,0.1,0.01,0.1,100,TRUE,-0.00581175830569969,0.917973000337256,0.92183503636931,0.99,2.23452209997892,TRUE,"Constant death"
