"alpha","beta","N.tot","S.frac","sigma","cv.abund","alpha.const","S.tot","slope.P","slope.E","slope.S1","mean.P.minus","mean.log.abund","E.happened","type"
0.5,1,100,0.2,0.1,0.1,FALSE,20,-0.0525171404231765,0.602929155521023,0.698933751172262,0.8485026966309,1.53213448643904,TRUE,"Positive DD"
0.5,4,100,0.2,0.1,0.1,FALSE,20,-0.0441361934531229,0.63905191118923,0.704994006288545,0.901311793537642,1.53842204670432,TRUE,"Positive DD"
0.5,-4,1000,0.2,0.1,0.1,FALSE,200,-0.000466744628870327,0.664883362964184,0.688794600090303,0.0550012492171789,1.50553145212323,TRUE,"Negative DD"
0.5,-1,1000,0.2,0.1,0.1,FALSE,200,-0.0260224530664873,0.465214368226579,0.673965629611843,0.190963407184384,1.49632337625756,TRUE,"Negative DD"
0.5,-0.4,1000,0.2,0.1,0.1,FALSE,200,-0.047529966001784,0.494918931061552,0.662623245121846,0.390425353929512,1.49442097787011,TRUE,"Negative DD"
0.5,0,1000,0.2,0.1,0.1,FALSE,200,-0.0598394995263294,0.480479846911097,0.671676794445652,0.498396908813384,1.49231268156388,TRUE,"Constant death"
0.5,0.4,1000,0.2,0.1,0.1,FALSE,200,-0.0562455480078975,0.540805671775298,0.679538004993479,0.606001531935006,1.49567234847928,TRUE,"Positive DD"
0.5,1,1000,0.2,0.1,0.1,FALSE,200,-0.0469151569640097,0.59249790186147,0.669141702563729,0.806692125143932,1.50209743161402,TRUE,"Positive DD"
0.5,4,1000,0.2,0.1,0.1,FALSE,200,-0.0187144829257349,0.659579371842562,0.684877523634799,0.939872764087081,1.49032153064263,TRUE,"Positive DD"
0.5,-4,100,0.05,1,0.1,FALSE,5,NA,NA,0.495590531824257,1.99898421542464e-05,2.96094550709138,FALSE,"Negative DD"
0.5,-1,100,0.05,1,0.1,FALSE,5,NA,NA,0.507776968101067,0.0013560038433302,2.97057200424147,FALSE,"Negative DD"
