"S","M","Amu","d_z","P.alpha","P.gamma","P.slope","E.slope","type"
100,100,-0.5,1.2,NA,0.393939393939394,NA,3.59,"Negative DD"
10,10,-0.1,1.2,0.708333333333333,0.444444444444444,-0.0263888888888889,0.2,"Negative DD"
100,10,-0.1,1.2,0.780595238095238,0.701754385964912,-0.00788408521303259,3.2,"Negative DD"
10,100,-0.1,1.2,0.84377380952381,0,-0.084377380952381,-0.365,"Negative DD"
100,100,-0.1,1.2,0.45534126984127,0.15625,-0.029909126984127,1.225,"Negative DD"
10,10,-0.9,1.4,0.748095238095238,0.4,-0.0348095238095238,0.06,"Negative DD"
100,10,-0.9,1.4,0.833809523809524,0.794117647058823,-0.00396918767507003,2.38,"Negative DD"
10,100,-0.9,1.4,NA,0,NA,-0.051,"Negative DD"
100,100,-0.9,1.4,0.866626623376623,0.51,-0.0356626623376623,4.601,"Negative DD"
10,10,-0.5,1.4,0.316666666666667,0.333333333333333,0.00166666666666667,0.25,"Negative DD"
100,10,-0.5,1.4,0.758917748917749,0.686274509803922,-0.00726432391138273,2.91,"Negative DD"
10,100,-0.5,1.4,NA,0,NA,-0.148,"Negative DD"
100,100,-0.5,1.4,0.888073632071167,0.08,-0.0808073632071167,-1.12,"Negative DD"
10,10,-0.1,1.4,0.8,0.555555555555556,-0.0244444444444444,0.26,"Negative DD"
100,10,-0.1,1.4,0.667247474747475,0.532258064516129,-0.0134989410231346,2.55,"Negative DD"
10,100,-0.1,1.4,NA,0,NA,-0.109,"Negative DD"
100,100,-0.1,1.4,0.828023284556466,0.05,-0.0778023284556466,-2.876,"Negative DD"
10,10,-0.9,1.6,NA,0.5,NA,0.29,"Negative DD"
100,10,-0.9,1.6,0.772727272727273,0.692307692307692,-0.00804195804195804,3.06,"Negative DD"
10,100,-0.9,1.6,0.817055555555556,0,-0.0817055555555556,-0.507,"Negative DD"
100,100,-0.9,1.6,NA,0.568421052631579,NA,5.064,"Negative DD"
10,10,-0.5,1.6,0.686666666666667,0.4,-0.0286666666666667,0.13,"Negative DD"
100,10,-0.5,1.6,0.812698412698413,0.763636363636364,-0.0049062049062049,3.59,"Negative DD"
10,100,-0.5,1.6,0.907071428571429,0,-0.0907071428571428,-0.283,"Negative DD"
100,100,-0.5,1.6,NA,0.13,NA,0.886,"Negative DD"
10,10,-0.1,1.6,0.675,0.2,-0.0475,-0.05,"Negative DD"
100,10,-0.1,1.6,0.674116569704805,0.523076923076923,-0.0151039646627882,2.6,"Negative DD"
10,100,-0.1,1.6,0.659666666666667,0,-0.0659666666666667,-0.283,"Negative DD"
100,100,-0.1,1.6,0.603143590070061,0.02,-0.0583143590070061,-0.406,"Negative DD"
10,10,-0.9,1.8,0.858333333333333,0.6,-0.0258333333333333,0.39,"Negative DD"
100,10,-0.9,1.8,0.749964404790256,0.6,-0.0149964404790256,3.66,"Negative DD"
10,100,-0.9,1.8,NA,0,NA,-0.167,"Negative DD"
100,100,-0.9,1.8,0.815202380952381,0.343434343434343,-0.0471768037518038,2.922,"Negative DD"
10,10,-0.5,1.8,0.725,0.2,-0.0525,-0.09,"Negative DD"
100,10,-0.5,1.8,0.722824038530185,0.416666666666667,-0.0306157371863519,2.16,"Negative DD"
10,100,-0.5,1.8,NA,0,NA,-0.168,"Negative DD"
100,100,-0.5,1.8,0.887672809216927,0.35,-0.0537672809216927,2.628,"Negative DD"
10,10,-0.1,1.8,0.883333333333333,0.8,-0.00833333333333333,0.52,"Negative DD"
100,10,-0.1,1.8,0.841308831318957,0.633333333333333,-0.0207975497985624,3.52,"Negative DD"
10,100,-0.1,1.8,NA,0,NA,-0.243,"Negative DD"
100,100,-0.1,1.8,0.629296847310594,0.03,-0.0599296847310594,-0.739,"Negative DD"
10,10,-0.9,2,0.391666666666667,0,-0.0391666666666667,-0.24,"Constant death"
100,10,-0.9,2,0.575015445831761,0.08,-0.0495015445831761,-2.26,"Constant death"
10,100,-0.9,2,NA,0,NA,-0.171,"Constant death"
100,100,-0.9,2,0.39014850585193,0,-0.039014850585193,-1.899,"Constant death"
10,10,-0.5,2,0.566666666666667,0.2,-0.0366666666666667,0.05,"Constant death"
100,10,-0.5,2,0.64765132197949,0.2,-0.044765132197949,-1,"Constant death"
